distribution,m4_naive,m4_naive_simd,m4_scalar,m4_simd,m4_huf0,m4_naive_vs_huf0,m4_naive_simd_vs_huf0,m4_scalar_vs_huf0,m4_simd_vs_huf0,c8i_naive,c8i_naive_simd,c8i_scalar,c8i_simd,c8i_huf0,c8i_naive_vs_huf0,c8i_naive_simd_vs_huf0,c8i_scalar_vs_huf0,c8i_simd_vs_huf0
proba80,1.2435,3.6631,1.647,6.415,2.8942,0.43,1.27,0.57,2.22,0.3431,2.4972,0.7532,6.9145,1.8283,0.19,1.37,0.41,3.78
prose_pride,0.4406,1.6962,0.5841,2.3854,2.5766,0.17,0.66,0.23,0.93,0.0508,0.814,0.0689,1.8572,1.674,0.03,0.49,0.04,1.11
